Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter
Bacteria,Acidobacteria,Acidobacteria_Gp1,Gp1,unclassified,
Bacteria,Acidobacteria,Acidobacteria_Gp10,Gp10,unclassified,
Bacteria,Acidobacteria,Acidobacteria_Gp16,Gp16,unclassified,
Bacteria,Acidobacteria,Acidobacteria_Gp3,Gp3,unclassified,
Bacteria,Acidobacteria,Acidobacteria_Gp4,Gp4,unclassified,
Bacteria,Acidobacteria,Acidobacteria_Gp6,Gp6,unclassified,
Bacteria,Acidobacteria,Acidobacteria_Gp7,Gp7,unclassified,
Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix
Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,Iamia
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,unclassified,
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobidae_incertae_sedis,Ilumatobacter,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Bogoriellaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Turicella
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cryptosporangiaceae,Cryptosporangium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Dermabacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Dermacoccus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Kytococcus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus
Bacteria,Actinobacteria,Actinobacteria ,Actinomycetales,Geodermatophilaceae,Geodermatophilus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Modestobacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Arsenicicoccus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Knoellia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Ornithinimicrobium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Phycicoccus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Terrabacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Terracoccus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Tetrasphaera
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Jonesiaceae,Jonesia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineococcus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineosporia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Quadrisphaera
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agrococcus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Clavibacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Frigoribacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leifsonia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leucobacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Mycetocola
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Plantibacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Rathayibacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Zimmermannella
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Citricoccus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Nesterenkonia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Renibacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nakamurellaceae,Humicoccus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nakamurellaceae,Nakamurella
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nakamurellaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Gordonia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Williamsia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Actinopolymorpha
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Aeromicrobium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Jiangella
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Marmoricola
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiopsaceae,Nocardiopsis
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Cellulosimicrobium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Isoptericola
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Promicromonospora
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Friedmanniella
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Luteococcus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Microlunatus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionicicella
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propioniferax
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionimicrobium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Tessaracoccus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Actinomycetospora
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Prauserella
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharomonospora
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharopolyspora
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Thermobispora
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Sanguibacteraceae,Sanguibacter
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Segniliparaceae,Segniliparus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Kitasatospora
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Microbispora
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Tsukamurellaceae,Tsukamurella
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified,
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Yaniellaceae,Yaniella
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Parascardovia
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Asaccharobacter
Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium
Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella
Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Cryptobacterium
Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Eggerthella
Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Enterorhabdus
Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Gordonibacter
Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella
Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Paraeggerthella
Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia
Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,unclassified
Bacteria,Actinobacteria,Actinobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter
Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Conexibacteraceae,Conexibacter
Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Patulibacteraceae,Patulibacter
Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,unclassified,
Bacteria,Actinobacteria,Actinobacteria,unclassified,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_incertae_sedis,Phocaeicola
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Odoribacter
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unclassified
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Hallella
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,unclassified
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Xylanibacter
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Fluviicola
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Chryseobacterium
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Cloacibacterium
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Elizabethkingia
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Empedobacter
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Epilithonimonas
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Gillisia
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Kaistella
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Myroides
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Planobacterium
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Riemerella
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Salinimicrobium
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,unclassified
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Wautersiella
Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,unclassified,
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Ferruginibacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Flavisolibacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Lacibacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Niabella
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Parasegetibacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Segetibacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Terrimonas
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,unclassified
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cyclobacteriaceae,unclassified
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Adhaeribacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Arcicella
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Dyadobacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Hymenobacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Larkinella
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Pontibacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Spirosoma
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,unclassified
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Rhodothermaceae,Salinibacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Rhodothermaceae,unclassified
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Saprospiraceae,Haliscomenobacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Nubsella
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,unclassified
Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,unclassified,
Bacteria,Bacteroidetes,unclassified,,,
Bacteria,BRC1,BRC1_genera_incertae_sedis,unclassified,,
Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,unclassified,
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,unclassified
Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea
Bacteria,Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,Chloroflexus
Bacteria,Chloroflexi,Chloroflexi,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon
Bacteria,Chloroflexi,Chloroflexi,unclassified,,
Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter
Bacteria,Chloroflexi,Thermomicrobia,unclassified,,
Bacteria,Chloroflexi,unclassified,,,
Bacteria,Cyanobacteria,Cyanobacteria,Chloroplast,Bacillariophyta,unclassified
Bacteria,Cyanobacteria,Cyanobacteria,Chloroplast,Chlorophyta,unclassified
Bacteria,Cyanobacteria,Cyanobacteria,Chloroplast,Streptophyta,unclassified
Bacteria,Cyanobacteria,Cyanobacteria,Chloroplast,unclassified,
Bacteria,Cyanobacteria,Cyanobacteria,Family_I,GpI,unclassified
Bacteria,Cyanobacteria,Cyanobacteria,Family_IV,GpIV,unclassified
Bacteria,Cyanobacteria,Cyanobacteria,Family_V,GpV,unclassified
Bacteria,Cyanobacteria,Cyanobacteria,Family_VIII,GpVIII,unclassified
Bacteria,Cyanobacteria,Cyanobacteria,Family_XIII,GpXIII,unclassified
Bacteria,Cyanobacteria,Cyanobacteria,unclassified,,
Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus
Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera
Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus
Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus
